
> goodreads@1.0.0 summary-year
> NODE_OPTIONS='--loader ts-node/esm --no-warnings' node src/index.ts summary-year

🔑 Goodreads session cookies found (No JWT present to verify expiration date).


📊 Publication Year Summary:
----------------------------
-415.01.01: 1 books
-423.01.01: 1 books
-428.01.01: 1 books
-429.01.01: 1 books
-431.01.01: 1 books
-441.01.01: 1 books
-450.01.01: 1 books
-472.01.01: 1 books
-475.01.01: 1 books
-480.01.01: 1 books
-500.01.01: 1 books
-55.01.01: 1 books
-550.01.01: 1 books
-560.01.01: 1 books
-60.01.01: 1 books
-850.01.01: 1 books

Total books in cache: 61718

⏱️  Total run time: 0.1s
